"id","region_code","province_code","city_code","city","created_at","updated_at"
"1","3","33","3327","KAB. PEMALANG",,
"2","3","33","3303","KAB. PURBALINGGA",,
"3","3","33","3306","KAB. PURWOREJO",,
"4","3","33","3317","KAB. REMBANG",,
"5","3","33","3322","KAB. SEMARANG",,
"6","3","33","3323","KAB. TEMANGGUNG",,
"7","3","35","3522","KAB. BOJONEGORO",,
"8","3","35","3506","KAB. KEDIRI",,
"9","6","61","6104","KAB. KETAPANG",,
"10","3","35","3571","KOTA KEDIRI",,
"11","3","35","3577","KOTA MADIUN",,
"12","3","35","3573","KOTA MALANG",,
"13","6","61","6172","KOTA SINGKAWANG",,
"14","6","61","6112","KAB. KUBU RAYA",,
"15","6","61","6108","KAB. LANDAK",,
"16","6","61","6110","KAB. MELAWI",,
"17","6","61","6102","KAB. MEMPAWAH",,
"18","6","61","6101","KAB. SAMBAS",,
"19","6","61","6103","KAB. SANGGAU",,
"20","6","61","6109","KAB. SEKADAU",,
"21","6","61","6105","KAB. SINTANG",,
"22","6","62","6205","KAB. BARITO UTARA",,
"23","5","53","5318","KAB. SUMBA BARAT DAYA",,
"24","9","91","9171","KOTA JAYAPURA",,
"25","9","92","9203","KAB. FAK FAK",,
"26","6","63","6304","KAB. BARITO KUALA",,
"27","6","63","6306","KAB. HULU SUNGAI SELATAN",,
"28","6","63","6307","KAB. HULU SUNGAI TENGAH",,
"29","6","63","6308","KAB. HULU SUNGAI UTARA",,
"30","6","63","6372","KOTA BANJARBARU",,
"31","6","63","6371","KOTA BANJARMASIN",,
"32","6","63","6302","KAB. KOTABARU",,
"33","6","63","6309","KAB. TABALONG",,
"34","6","63","6310","KAB. TANAH BUMBU",,
"35","6","62","6203","KAB. KAPUAS",,
"36","6","62","6206","KAB. KATINGAN",,
"37","1","18","1872","KOTA METRO",,
"38","1","18","1804","KAB. LAMPUNG BARAT",,
"39","1","18","1801","KAB. LAMPUNG SELATAN",,
"40","1","18","1802","KAB. LAMPUNG TENGAH",,
"41","1","18","1807","KAB. LAMPUNG TIMUR",,
"42","1","18","1803","KAB. LAMPUNG UTARA",,
"43","1","18","1811","KAB. MESUJI",,
"44","1","18","1809","KAB. PESAWARAN",,
"45","6","62","6201","KAB. KOTAWARINGIN BARAT",,
"46","6","62","6202","KAB. KOTAWARINGIN TIMUR",,
"47","6","62","6209","KAB. LAMANDAU",,
"48","6","62","6212","KAB. MURUNG RAYA",,
"49","6","62","6207","KAB. SERUYAN",,
"50","6","64","6402","KAB. KUTAI KARTANEGARA",,
"51","6","64","6471","KOTA BALIKPAPAN",,
"52","1","19","1901","KAB. BANGKA",,
"53","1","19","1906","KAB. BELITUNG TIMUR",,
"54","1","18","1808","KAB. WAY KANAN",,
"55","8","81","8171","KOTA AMBON",,
"56","8","81","8105","KAB. SERAM BAGIAN TIMUR",,
"57","8","82","8205","KAB. KEPULAUAN SULA",,
"58","2","21","2101","KAB. BINTAN",,
"59","2","21","2102","KAB. KARIMUN",,
"60","2","21","2105","KAB. KEPULAUAN ANAMBAS",,
"61","2","21","2171","KOTA BATAM",,
"62","2","21","2172","KOTA TANJUNG PINANG",,
"63","2","21","2104","KAB. LINGGA",,
"64","2","21","2103","KAB. NATUNA",,
"65","1","18","1871","KOTA BANDAR LAMPUNG",,
"66","5","52","5201","KAB. LOMBOK BARAT",,
"67","5","52","5202","KAB. LOMBOK TENGAH",,
"68","5","52","5203","KAB. LOMBOK TIMUR",,
"69","5","52","5208","KAB. LOMBOK UTARA",,
"70","5","52","5204","KAB. SUMBAWA",,
