id,province_code,city_code,district_code,district,created_at,updated_at
1,33,3323,332313,KRANGGAN,,
2,11,1102,110214,LAWE SUMUR,,
3,33,3372,337201,LAWEYAN,,
4,74,7472,747207,LEA-LEA,,
5,36,3604,360435,LEBAK WANGI,,
6,13,1373,137301,LEMBAH SEGAR,,
7,11,1106,110614,LEMBAH SEULAWAH,,
8,33,3326,332603,LEBAKBARANG,,
9,32,3208,320807,LEBAKWANGI,,
10,53,5313,531304,LEBATUKAN,,
11,13,1302,130206,LEMBANG JAYA,,
12,52,5201,520113,LEMBAR,,
13,71,7102,710205,LEMBEAN TIMUR,,
14,71,7172,717201,LEMBEH SELATAN,,
15,17,1707,170702,LEBONG ATAS,,
16,17,1707,170708,LEBONG SAKTI,,
17,72,7212,721204,LEMBO,,
18,72,7212,721203,LEMBO RAYA,,
19,53,5315,531503,LEMBOR,,
20,53,5315,531509,LEMBOR SELATAN,,
21,34,3402,340204,PUNDONG,,
22,72,7207,720707,BUKO,,
23,32,3212,321218,LOHBENER,,
24,74,7403,740318,LOHIA,,
25,33,3304,330419,PANDANARUM,,
26,21,2171,217105,BULANG,,
27,72,7202,720224,LORE TIMUR,,
28,72,7202,720207,LORE UTARA,,
29,32,3212,321220,LOSARANG,,
30,63,6307,630705,PANDAWAN,,
31,75,7503,750314,BULANGO ULU,,
32,75,7503,750305,BULANGO UTARA,,
33,75,7503,750317,BULAWA,,
34,51,5108,510806,BULELENG,,
35,62,6209,620903,BULIK,,
36,62,6209,620904,BULIK TIMUR,,
37,76,7604,760416,BULO,,
38,52,5204,520423,MOYO UTARA,,
39,34,3404,340403,MOYUDAN,,
40,52,5272,527205,MPUNDA,,
41,96,9604,960426,MPUR,,
42,33,3321,332101,MRANGGEN,,
43,33,3303,330308,MREBET,,
44,17,1704,170407,NASAL,,
45,16,1608,160808,SEMENDAWAI SUKU III,,
46,35,3578,357812,PABEAN CANTIAN,,
47,95,9501,950103,ASOLOGAIMA,,
48,95,9507,950737,MUARA,,
49,94,9402,940212,MUARA,,
50,53,5315,531508,NDOSO,,
51,51,5101,510101,NEGARA,,
52,18,1808,180811,NEGARA BATIN,,
53,18,1808,180807,NEGERI AGUNG,,
54,18,1808,180812,NEGERI BESAR,,
55,18,1809,180902,NEGERI KATON,,
56,73,7310,731006,BUNGORO,,
57,63,6305,630509,BUNGUR,,
58,21,2103,210305,BUNGURAN BARAT,,
59,21,2103,210320,BUNGURAN BATUBI,,
60,21,2103,210318,BUNGURAN SELATAN,,
61,35,3508,350803,CANDIPURO,,
62,33,3323,332312,CANDIROTO,,
63,21,2103,210307,BUNGURAN TIMUR,,
64,21,2103,210315,BUNGURAN TIMUR LAUT,,
65,21,2103,210308,BUNGURAN UTARA,,
66,32,3278,327809,BUNGURSARI,,
67,32,3214,321413,BUNGURSARI,,
68,13,1371,137105,BUNGUS TELUK KABUNG,,
69,72,7205,720504,BUNOBOGU,,
70,72,7201,720102,BUNTA,,
71,73,7326,732605,BUNTAO,,
72,73,7316,731610,BUNTU BATU,,
73,76,7603,760316,BUNTUMALANGKA,,
74,14,1405,140508,BUNUT,,
75,61,6106,610605,BUNUT HILIR,,
76,61,6106,610606,BUNUT HULU,,
77,65,6501,650110,BUNYU,,
78,73,7324,732407,BURAU,,
79,13,1306,130614,CANDUNG,,
80,34,3404,340417,CANGKRINGAN,,
81,32,3204,320444,CANGKUANG,,
82,32,3212,321217,CANTIGI,,
83,12,1202,120215,MUARA,,
84,34,3471,347106,NGAMPILAN,,
85,21,2102,210206,BURU,,
86,64,6408,640801,MUARA ANCALONG,,
87,17,1707,170704,LEBONG SELATAN,,
88,17,1707,170703,LEBONG TENGAH,,
89,63,6309,630901,BANUA LAWAS,,
90,17,1707,170701,LEBONG UTARA,,
91,35,3509,350928,LEDOKOMBO,,
92,36,3603,360320,LEGOK,,
93,32,3213,321321,LEGONKULON,,
94,81,8101,810115,LEIHITU,,
95,81,8101,810122,LEIHITU BARAT,,
96,81,8171,817105,LEITIMUR SELATAN,,
97,35,3514,351422,LEKOK,,
98,33,3307,330705,LEKSONO,,
99,81,8109,810905,LEKSULA,,
100,53,5307,530703,LELA,,
101,17,1771,177104,MUARA BANGKAHULU,,
102,64,6408,640803,MUARA BENGKAL,,
103,35,3505,350509,NGLEGOK,,
104,35,3515,351507,CANDI,,
105,34,3403,340302,NGLIPAR,,
106,33,3308,330803,NGLUWAR,,
107,33,3306,330602,NGOMBOL,,
108,32,3201,320127,CARINGIN,,
109,32,3205,320536,CARINGIN,,
110,32,3202,320231,CARINGIN,,
111,36,3601,360128,CARITA,,
112,32,3201,320108,CARIU,,
113,92,9212,921207,CATUBOUW,,
114,33,3310,331005,CAWAS,,
115,11,1104,110413,CELALA,,
116,73,7315,731508,CEMPA,,
117,15,1504,150403,MUARA BULIAN,,
118,73,7316,731607,CENDANA,,
119,53,5310,531015,LELAK,,
120,32,3212,321205,LELEA,,
121,32,3203,320330,LELES,,
122,32,3205,320509,LELES,,
123,32,3274,327402,LEMAHWUNGKUK,,
124,32,3209,320904,PABEDILAN,,
125,62,6271,627101,PAHANDUT,,
126,32,3214,321414,CIBATU,,
127,32,3203,320303,CIBEBER,,
128,36,3672,367201,CIBEBER,,
129,36,3602,360219,CIBEBER,,
130,72,7204,720410,DAKO PEMEAN,,
131,16,1603,160308,SEMENDE DARAT LAUT,,
132,35,3525,352511,CERME,,
133,35,3511,351115,CERMEE,,
134,32,3203,320323,CIDAUN,,
135,72,7204,720402,DAMPAL UTARA,,
136,72,7203,720306,DAMPELAS,,
137,35,3507,350705,DAMPIT,,
138,32,3202,320247,CIAMBAR,,
139,32,3201,320128,CIJERUK,,
140,14,1402,140210,KUALA CENAKU,,
141,14,1404,140403,KUALA INDRAGIRI,,
142,32,3201,320115,CIAMPEA,,
143,32,3215,321504,CIAMPEL,,
144,32,3203,320301,CIANJUR,,
145,32,3213,321309,CIASEM,,
146,32,3213,321329,CIATER,,
147,32,3201,320124,CIAWI,,
148,32,3206,320636,CIAWI,,
149,32,3208,320810,CIAWIGEBANG,,
150,16,1609,160901,MUARA DUA,,
151,32,3203,320312,CIKALONGKULON,,
152,32,3217,321704,CIKALONGWETAN,,
153,16,1609,160904,MUARA DUA KISAM,,
154,32,3272,327207,CIBEUREUM,,
155,32,3278,327806,CIBEUREUM,,
156,33,3301,330122,CILACAP TENGAH,,
157,32,3209,320933,PABUARAN,,
158,15,1501,150123,DANAU KERINCI BARAT,,
159,53,5311,531110,PAHUNGA LODU,,
160,35,3513,351312,PAITON,,
161,32,3201,320101,CIBINONG,,
162,32,3203,320320,CIBINONG,,
163,95,9504,950414,KUARI,,
164,64,6401,640105,KUARO,,
165,53,5302,530227,KUATNANA,,
166,51,5107,510708,KUBU,,
167,61,6112,611206,KUBU,,
168,11,1108,110820,PAYA BAKONG,,
169,13,1371,137103,PADANG BARAT,,
170,32,3216,321607,CIBITUNG,,
171,36,3601,360127,CIBITUNG,,
172,32,3202,320225,CIBITUNG,,
173,14,1407,140701,KUBU,,
174,32,3209,320907,LEMAHABANG,,
175,95,9501,950130,SILO KARNO DOGA,,
176,32,3213,321317,CIBOGO,,
