"id","region_code","province_code","province","created_at","updated_at"
"1","5","51","BALI",,
"2","7","73","SULAWESI SELATAN",,
"3","7","74","SULAWESI TENGGARA",,
"4","7","76","SULAWESI BARAT",,
"5","8","81","MALUKU",,
"6","8","82","MALUKU UTARA",,
"7","9","91","P A P U A",,
"8","9","92","PAPUA BARAT",,
"9","9","93","PAPUA SELATAN",,
"10","9","94","PAPUA TENGAH",,
"11","9","96","PAPUA BARAT DAYA",,
"12","5","52","NUSA TENGGARA BARAT",,
"13","1","11","ACEH",,
"14","1","12","SUMATERA UTARA",,
"15","1","13","SUMATERA BARAT",,
"16","1","14","RIAU",,
"17","1","15","JAMBI",,
"18","1","16","SUMATERA SELATAN",,
"19","1","17","BENGKULU",,
"20","1","18","LAMPUNG",,
"21","1","19","KEPULAUAN BANGKA BELITUNG",,
"22","2","21","KEPULAUAN RIAU",,
"23","5","53","NUSA TENGGARA TIMUR",,
"24","3","31","DKI JAKARTA",,
"25","3","33","JAWA TENGAH",,
"26","6","62","KALIMANTAN TENGAH",,
"27","7","75","GORONTALO",,
"28","9","95","PAPUA PEGUNUNGAN",,
"29","3","32","JAWA BARAT",,
"30","3","34","DAERAH ISTIMEWA YOGYAKARTA",,
"31","3","35","JAWA TIMUR",,
"32","3","36","BANTEN",,
"33","6","61","KALIMANTAN BARAT",,
"34","6","63","KALIMANTAN SELATAN",,
"35","6","64","KALIMANTAN TIMUR",,
"36","6","65","KALIMANTAN UTARA",,
"37","7","71","SULAWESI UTARA",,
"38","7","72","SULAWESI TENGAH",,
